"id","area","module_or_feature","slug_or_entry","status","type","priority","when","current_state","problem_or_risk","recommended_action","solo_company_simplification","security_consideration","performance_consideration","evidence","depends_on","acceptance_criteria"
"WEB-006","公开站点","联系表单","/contact; /api/contact","条件未完成","滥用防护","P1","启用 contactForm 前","具备蜜罐、体积限制和可选 Turnstile，但内存限流仅单 Worker isolate 有效","若维持当前状态，将无法证明：重复、超长、机器人和无效请求被拒绝，正常消息可追踪送达","启用生产 Turnstile，并为公开提交端点配置 Cloudflare WAF rate rule；确认 Web 到 Server 的转发路径","若支持量很小，可只展示邮件地址并关闭表单，省去验证码、限流和投递链路","不要把表单内容直接写入日志；限制长度、类型并防止邮件头注入","对验证码与邮件调用设置超时，避免请求长期占用","apps/web/src/routes/_public/(marketing)/contact.tsx; apps/web/src/routes/api/contact.ts; apps/server/src/handlers/contact.ts","邮件与 Cloudflare WAF","重复、超长、机器人和无效请求被拒绝，正常消息可追踪送达"
"WEB-007","公开站点","Newsletter","/api/newsletter/subscribe","条件未完成","滥用与合规","P1","启用 newsletter 前","Resend 联系人写入已实现，但生产反滥用和订阅证明仍需采用","若维持当前状态，将无法证明：订阅、重复订阅、退订和机器人请求均有明确行为","启用 Turnstile/WAF，确认双重确认或适用地区的同意记录需求，并提供退订入口","没有稳定内容节奏时关闭 newsletter，避免空功能和名单合规成本","不得自动重新订阅已退订用户；不要记录原始验证码或不必要的 IP","外部调用设置超时；高流量时再异步化，不先建营销队列","apps/web/src/routes/api/newsletter/subscribe.ts; apps/server/src/handlers/newsletter.ts","内容计划、Resend 域名、合规范围","订阅、重复订阅、退订和机器人请求均有明确行为"
"WEB-008","内容","Blog 首页与文章","/blog; /blog/$slug; /blog/category/$slug","待抉择","内容能力","P1","启用 blog 前","路由与 SEO 已实现，但 content/blog 只有说明文件且功能默认关闭","若维持当前状态，将无法证明：空内容不出现在导航或 sitemap；启用后所有公开 slug 有内容、canonical 和非空列表","决定是否真的长期写 Blog；启用前至少准备分类、作者、首批文章和各 locale 策略","单人公司没有持续发布计划就保持关闭；需要 SEO 时先做少量高意图常青页","渲染 MDX 时只使用受控内容源和组件白名单","只生成实际存在的 slug；图片优化并避免一次加载整站文章索引","apps/web/src/routes/_public/(marketing)/blog; apps/web/content/blog; packages/app-config/src/content-flags.ts","内容计划与 locale","空内容不出现在导航或 sitemap；启用后所有公开 slug 有内容、canonical 和非空列表"
"WEB-009","内容","Docs 与搜索","/docs/$; /api/search","待抉择","内容能力","P1","启用 docs 前","Docs 路由、MDX 与 Orama 搜索存在，但内容为空且默认关闭","若维持当前状态，将无法证明：关闭状态无搜索初始化成本；启用后搜索结果只包含当前公开页面","只有产品确需用户文档时启用，并建立版本、导航、404 与索引规则","小工具先用一个帮助页或 README，不要提前维护 Docs 门户和搜索索引","搜索只索引公开内容，不返回草稿、内部路径或环境变量","Docs 关闭时应避免加载搜索索引；启用后按构建生成而不是每请求全量扫描","apps/web/src/routes/docs; apps/web/src/routes/api/search.ts; apps/web/content/docs","文档规模","关闭状态无搜索初始化成本；启用后搜索结果只包含当前公开页面"
"WEB-010","国际化","公开 locale slug","/（英文无前缀）；/zh/* 与 /jp/* 当前不发布","已实现待扩展","内容维护复杂度","P1","未来明确发布第二语言时","首发 publication allowlist 只有 en；zh 与 legacy jp 词库休眠，不生成路由、导航、sitemap、hreflang 或语言切换器","未来若只开启词库而未完成等价内容、法律与交易文案审查，会产生错误 hreflang、混合语言页面；legacy jp 也不是标准语言码","首发保持英文；未来发布日语前先以独立兼容变更将 jp 迁移为 BCP 47 的 ja，再完成内容与 SEO 验收","只维护英文首发；有明确市场与持续翻译能力后才增加第二语言","登录、法律和交易邮件必须避免 locale 混淆造成错误同意或误导","减少 locale 数量会缩小构建、sitemap 和内容索引规模","packages/i18n/src/locales.ts; apps/web/src/i18n; apps/web/vite.config.ts; docs/i18n-implementation.md","未来 locale 产品决策","当前导航、路由生成、sitemap 与 hreflang 只发布英文；休眠词库不会形成公开 URL"
"WEB-011","国际化","私有路由 locale","/dashboard; /settings; /admin; /tickets; /credits; /purchases","已实现待维护","路由一致性","P1","新增私有 slug 时","所有私有区、API/RPC 与开发画廊统一命中 nonPublicPathPrefixes，使用 cookie locale 且不生成 locale 前缀","新增私有 slug 若未登记，会重新出现 locale 回跳、预渲染或索引规则漂移","新增私有入口时只更新 non-public-paths.ts，并让 locale、响应头、robots 和构建过滤继续消费该来源","单人产品建议私有区无 locale 前缀、用 cookie 选语言，slug 更稳定","认证回跳与支付 return URL 必须经过允许列表，不能接受任意外部 URL","稳定路由减少重复缓存键和 SSR 路径组合","apps/web/src/configs/non-public-paths.ts; apps/web/src/i18n/config.ts; packages/app-config/src/public-runtime.ts","新增私有路由","现有私有导航和支付回跳使用无 locale 前缀 URL；新增前缀只有一个登记点"
"WEB-012","SEO","私有页面索引控制","/auth/*; /admin/*; /dashboard; /settings/*; /credits/*; /purchases; /tickets/*; /help; /billing/*","已实现待执行验证","SEO 与隐私","P0","公开上线前","nonPublicPathPrefixes 已覆盖 admin、auth、billing、credits、dashboard、design-system、help、purchases、settings、tickets、users 与 api/rpc；publication-paths 让响应头和 Vite 发布过滤复用同一规则，并已有聚焦测试","robots 与 noindex 只能减少抓取，不能替代服务端会话、管理员和资源授权；新增私有 slug 漏登记仍会破坏一致性","保持共享静态来源和 publication-paths 聚焦测试；所有实际数据访问继续使用服务端 guard","维护一个共享 non-public prefix 来源，不在多个文档复制第二份规则","robots 不是授权；页面仍必须使用服务端 session/admin guard","避免爬虫和预渲染器访问私有 SSR 路径与无意义查询","apps/web/src/configs/non-public-paths.ts; apps/web/src/configs/publication-paths.ts; apps/web/src/configs/publication-paths.test.ts; apps/web/src/server.ts; apps/web/scripts/robots.mjs; apps/web/vite.config.ts; apps/web/src/routes/_authed","新增私有路由","共享清单中的每个前缀均 noindex、robots disallow、sitemap 排除且不被 prerender，授权仍由服务端拒绝"
"WEB-013","SEO","404 与 catch-all","/$","需复核","路由","P2","公开 slug 定稿后","存在根 catch-all 与 Docs catch-all，需确保关闭内容面时不会被错误页面吞掉或产生 soft 404","若维持当前状态，将无法证明：未知路径返回 404 HTTP 状态且不生成 canonical 到首页","为未知公开 slug 返回真实 404 状态，并验证 docs/blog 关闭后的 canonical 与索引行为","不做可配置万能页面解析器；未知 slug 直接 404","错误页不得回显未经转义的路径或内部异常","404 页面保持轻量，不加载后台查询和大型内容索引","apps/web/src/routes/$.tsx; apps/web/src/routes/docs/$.tsx","最终公开 slug","未知路径返回 404 HTTP 状态且不生成 canonical 到首页"
"WEB-014","性能","公开页预渲染","公开稳定页面","性能机会","构建策略","P2","内容定稿后","公开页面清单与私有排除已统一，但 prerender 仍关闭；当前低流量模板没有证据证明开启后收益高于构建复杂度","在内容和 URL 未定稿前启用 crawl prerender 会放大构建范围并可能固化错误公开页面","保持关闭直到真实产品内容稳定且性能测量显示需要；启用时只生成显式公开页面","少量营销页可完全静态，不引入额外缓存框架","预渲染产物不得包含用户态或环境 secret","降低 TTFB 与 Worker 调用量；用现有 perf budget 决定而非盲目开启全部 crawl","apps/web/vite.config.ts","内容定稿和性能证据","只有允许的公开页面被生成，部署后 HTML 可缓存且私有页面不落盘"
"WEB-015","性能","开发者工具","全局 RootDocument","问题","生产体积","P1","首次性能验收前","TanStack Query/Router Devtools 在根组件静态导入并始终渲染","若维持当前状态，将无法证明：生产构建中无 TanStackDevtools 代码，开发模式仍可使用","改为仅开发环境启用，最好动态导入；生产 bundle 不包含面板","生产不需要远程调试面板，保留浏览器日志与正式可观测性即可","避免在生产 UI 暴露查询缓存与内部路由信息","减少根 bundle、解析和运行时开销","apps/web/src/routes/__root.tsx","无","生产构建中无 TanStackDevtools 代码，开发模式仍可使用"
"WEB-017","登录后主页","Dashboard","/dashboard","未完成","产品体验","P1","核心产品闭环完成后","当前仅展示资料、账单、积分和安全卡片，没有产品域数据或下一步动作","若维持当前状态，将无法证明：登录后用户能在一屏进入核心动作并看到最近结果，关闭模块不产生查询","将第一张卡改为核心产品动作与最近结果，平台设置卡降为次级入口","单人产品不要建可配置 Dashboard 或 widget 系统，一屏回答现在该做什么即可","摘要只能查询当前用户有权访问的数据","合并首屏查询并按需加载账单/积分卡，关闭能力时不发请求","apps/web/src/routes/_authed/(dashboard)/dashboard/route.tsx; apps/server/src/modules/index.ts","PROD-003","登录后用户能在一屏进入核心动作并看到最近结果，关闭模块不产生查询"
"WEB-018","账号设置","资料与安全","/settings; /settings/profile; /settings/security","需复核","账号体验","P1","开放注册前","基本资料、头像、登录方式和重置密码入口已存在，但显示内容依赖实际 auth/storage 组合","若维持当前状态，将无法证明：每种账号类型只看到可执行动作，资料修改和密码重置有正确权限与反馈","按启用登录方式和 storage 做设备级走查，隐藏不适用块，并让重置文案与实际邮件能力一致","保留姓名、头像和安全三项即可，不建任意 profile schema、团队账号或 RBAC","资料更新做服务端字段白名单；重置密码需要 fresh session 语义和统一防枚举响应","页面只查询已启用能力，不为关闭的 social/storage 发请求","apps/web/src/routes/_authed/(dashboard)/settings; apps/server/src/routers/common/users.ts","AUTH-001 和 STORE-001","每种账号类型只看到可执行动作，资料修改和密码重置有正确权限与反馈"
"WEB-019","支持入口","Help","/help","已决定待采用","信息架构","P2","首发内容配置时","Help 页面与 contact、support email、tickets、docs 可能形成多个重复入口","若维持当前状态，将无法证明：所有帮助链接可用且只指向当前启用渠道，无死入口","首发让 Help 只提供短 FAQ 与 support email；Tickets 和完整 Docs 保持关闭且不显示入口","单人公司先维护一个邮箱入口，不建知识库、工单台或多渠道客服","不要在帮助页展示内部状态、管理员私用邮箱或调试信息；公开专用 support email","静态帮助内容优先，不加载关闭模块的数据","apps/web/src/routes/_authed/(dashboard)/help.tsx; apps/web/src/components/dashboard/help-page.tsx","support email 配置","所有帮助链接可用且只指向短 FAQ 与当前 support email，无 Tickets 或 Docs 死入口"
"AUTH-001","认证","登录方式","/auth/sign-in; /auth/sign-up","已实现待生产采用","产品简化","P0","上线注册前","Web 与可选 Mobile 只保留已验证邮箱/密码流程；Email OTP 配置、客户端插件、表单、邮件模板和依赖已移除，GitHub、Google、Apple 继续关闭","首发风险已收缩为邮件域名、回跳 URL 与生产 secret 尚需真实采用；重新加登录方式会扩大账户绑定与回调安全面","首发保持邮箱密码加邮箱验证；只在明确需求和完整服务端能力存在时以独立变更增加一种 OAuth","只维护一种登录方式，不保留可误开启的半实现能力","每个 provider 必须限制 redirect origin、验证 email 状态并保留账号绑定唯一性检查","少 provider 可减少 SDK、OAuth 回调与支持成本","packages/app-config/src/public-runtime.ts; apps/server/src/lib/auth.ts; apps/web/src/lib/auth/auth-client.ts; apps/web/src/components/auth; optional/mobile/lib/auth/auth.client.ts","PROD-001 和生产邮件","UI 与客户端只暴露服务端真实支持的邮箱密码流程；生产域可完成注册、验证、登录、登出和找回"
"AUTH-002","认证","邮箱验证与密码找回","/auth/forgot-password; /auth/reset-password","条件未完成","邮件配置","P0","开放邮箱注册前","流程已实现，但发信域名、链接域名和生产 secret 仍需采用","若维持当前状态，将无法证明：真实邮箱可完成验证与重置，未知邮箱得到同样外部响应，过期 token 失败","验证 Resend 域名、发件人、回跳 URL、token 过期与重复使用行为","若不准备可靠发信，不要开放邮箱密码注册，可先使用单一 OAuth","错误响应避免泄露邮箱是否存在；token 一次性且短期有效","邮件调用设置超时并保留失败可观察性","apps/server/src/auth; apps/server/src/emails; packages/app-config/src/product-config.ts","PROD-001 和生产邮件","真实邮箱可完成验证与重置，未知邮箱得到同样外部响应，过期 token 失败"
"AUTH-003","认证","OAuth 账户唯一性","account(providerId, accountId)","条件未完成","数据完整性","P1","启用任一 OAuth 前","账号表遵循 Better Auth 生成结构，复合唯一约束需要先审计既有数据，不能盲加","若维持当前状态，将无法证明：没有重复键，登录映射唯一，迁移或不迁移均有记录理由","启用 OAuth 前运行重复账户审计；若数据干净，再按当前 Better Auth 官方结构决定迁移","不启用 OAuth 就不处理这项，不为关闭功能改历史 schema","重复 provider account 可能导致身份串联风险；迁移必须先查重并可回滚","唯一索引也可加速 provider account 查找","apps/server/src/db/schema/auth.ts; apps/server/scripts/audit-auth-accounts.ts","OAuth 决策与数据审计","没有重复键，登录映射唯一，迁移或不迁移均有记录理由"
"AUTH-004","认证","管理员授权","/admin/*; ADMIN_EMAILS","已实现待采用","安全边界","P0","开放后台前","服务端使用生产 ADMIN_EMAILS allowlist，不使用数据库 role；产品仍需配置真实管理员","若维持当前状态，将无法证明：普通用户、付费非管理员均被拒绝，允许列表管理员可访问，恢复步骤可执行","仅配置最少的所有者邮箱并记录丢失访问时的恢复步骤；不要增加后台角色管理","一个人使用时一个主邮箱加一个受控恢复邮箱即可，不建 RBAC 系统","每个 admin procedure 继续使用 requireAdmin/adminProcedure；前端隐藏导航不算授权","allowlist 读取成本低，无需缓存到新的数据库角色表","apps/server/src/auth/guards; apps/server/src/routers/admin; docs/security-config-audit.md","生产 secret 与恢复账号","普通用户、付费非管理员均被拒绝，允许列表管理员可访问，恢复步骤可执行"
"AUTH-006","认证","远程头像","设置资料; allowedRemoteAvatarHosts","需复核","输入边界","P1","允许远程头像前","只允许 GitHub 与 Google 头像主机，但实际启用方式目前不含这两个 provider","若维持当前状态，将无法证明：非允许主机、超大或非图片资源被拒绝，允许头像稳定显示","按启用 provider 收紧 allowlist；没有远程头像需求就只允许站内上传或 initials","单一头像来源即可，不支持任意 URL","防 SSRF、重定向到非允许主机和内容类型伪造","图片代理/优化时限制大小、超时并缓存","packages/app-config/src/product-config.ts; apps/server/src/auth/avatar-policy.ts","登录方式与 storage","非允许主机、超大或非图片资源被拒绝，允许头像稳定显示"
"AUTH-007","认证","认证限流","/api/auth/*","已实现待采用","安全保留","P1","生产上线前","认证限流使用 D1 持久化，属于需要保留的跨 isolate 防护","若维持当前状态，将无法证明：多实例并发下仍限流，过期记录可清理且正常用户不被长期锁死","确认生产绑定、窗口与错误响应；仅按真实攻击情况调参","不要换成进程内 Map 来省代码；D1 方案对单人产品已经足够","避免账号枚举、撞库和邮件轰炸；可叠加 Cloudflare WAF","索引与清理策略需避免限流表无限增长","apps/server/src/lib/auth.ts; apps/server/src/db/schema/auth.ts","生产 D1","多实例并发下仍限流，过期记录可清理且正常用户不被长期锁死"
"AUTH-008","认证","私有会话新鲜度","RPC 与受保护路由","已实现待保留","安全保留","P1","持续","每个受保护请求重新读取 session/user，并拒绝已软删除用户；公共 RPC 也会承担部分上下文成本","若维持当前状态，将无法证明：用户删除或 session 撤销后下一次受保护请求立即失败","保留受保护路径的新鲜会话检查；只有在测到公共接口压力后再拆分匿名轻量 context","不要用长 TTL 自签缓存绕过用户删除与管理员变更","这是撤销 session 和删除账号即时生效的关键边界","公共高流量端点可单独使用无 session context，但不可影响 protectedProcedure","apps/server/src/lib/context.ts; apps/server/src/auth","真实流量证据","用户删除或 session 撤销后下一次受保护请求立即失败"
"PAY-001","支付","Web 支付供应商","Stripe、Creem、Waffo","待抉择","产品简化","P0","开始支付接入前","模板支持多个 Web provider，默认 Stripe；多供应商会增加 webhook、退款、升级和客服矩阵","若维持当前状态，将无法证明：生产只有一个 Web provider 被注册，未配置 provider 没有 webhook 路由","每个站点只选一个 Web 支付供应商，并只配置该 provider 的价格与 webhook","单人公司不要做运行时多供应商切换，也不做跨 provider 订阅迁移","只信任验签 webhook；redirect success 不能授予权益","构建后测量未选 adapter 是否影响 Worker 体积，再决定是否做静态裁剪","packages/app-config/src/app-config.ts; apps/server/src/payments; packages/app-config/src/payment-providers.ts","市场、税务与收款账户","生产只有一个 Web provider 被注册，未配置 provider 没有 webhook 路由"
"PAY-002","支付","Stripe 价格环境隔离","会员与积分 price IDs","潜在冲突","配置安全","P0","首次生产支付前","测试与生产 price ID 当前完全相同，生产预检会拒绝或可能误用测试目录","若维持当前状态，将无法证明：test/live ID 不同且均存在，结账显示金额与本地目录完全一致","分别创建 test/live 产品价格，替换所有会员与积分配置，并核对金额、币种、周期和状态","只保留实际出售的一种或两种价格，不同时推出月付、年付、终身和积分包","部署 guard 必须拒绝相同 ID、测试 key 和错误 webhook secret","缩小目录可减少结账页数据和 webhook 分支","packages/app-config/src/membership-config.ts; packages/app-config/src/product-config.ts; apps/server/src/config/production.ts","最终定价和 Stripe 账户","test/live ID 不同且均存在，结账显示金额与本地目录完全一致"
"PAY-003","支付","定价模型","monthly、yearly、lifetime、credits","待抉择","商业复杂度","P0","写条款和结账页前","默认同时存在订阅、终身购买和积分，权益组合、退款与升级路径复杂","若维持当前状态，将无法证明：页面、条款、provider 目录和 entitlement resolver 只有已批准的销售模型","选择单一主模型：订阅、一次性购买、人工订单或积分计量；只有明确用户需求再组合","商业基线默认收费，首发只实现一种收费方式，不规划独立免费产品路线，避免四套客服与会计语义","定义退款后撤权、争议、过期、重复购买和交付失败行为","更小目录减少 entitlement 查询与后台操作组合","packages/app-config/src/app-config.ts; apps/server/src/payments; apps/server/src/credits","产品价值计量","页面、条款、provider 目录和 entitlement resolver 只有已批准的销售模型"
"PAY-006","支付","权益授予","checkout redirect; webhook","已实现待保留","安全保留","P0","持续","当前设计由验签 webhook 写入权益，成功跳转只展示状态","若维持当前状态，将无法证明：伪造 redirect 不授予权益，重复 webhook 只产生一次业务结果","保持 webhook 为唯一事实源，不在 success 页面或客户端调用中直接授予权益","这部分不能为省代码简化；可以简化的是只保留一个 provider","验证签名、事件幂等、金额/币种/产品映射和退款撤权","异步处理避免 provider 重试阻塞，状态页面采用有限轮询","apps/server/src/payments/application/webhook-dispatch.ts; apps/server/src/payments/providers; apps/web/src/routes/billing/success.tsx","已选 provider","伪造 redirect 不授予权益，重复 webhook 只产生一次业务结果"
"PAY-007","支付","支付操作重试与审计","admin/payments; billing outbox","已实现待保留","可靠性保留","P0","启用自动 billing 时","paymentOperation、event、outbox、人工复核与管理员重试已实现，属于自动收费可靠性核心","若维持当前状态，将无法证明：重复执行不重复扣款/发放，失败进入可观察与可恢复状态","启用 billing 时保留这些状态机与审计；为管理员操作补充运行手册","支付链接加人工交付可不接此状态机；一旦自动授予权益，不要改成同步 webhook 直接写所有副作用","管理员重放必须 requireAdmin、审计且保持幂等","Queue batch size 先保持 1，只有积压数据证明需要时调优","apps/server/src/payments/application; apps/server/src/routers/admin/billing.ts; apps/server/src/modules/jobs","billing 与 jobs","重复执行不重复扣款/发放，失败进入可观察与可恢复状态"
"PAY-008","积分","Credits 系统","/credits/purchase; /credits/transactions","待抉择","过度复杂","P0","产品计费设计时","积分包含账户、交易、订单、恢复、争议、signup grant 与 billable operation，维护成本高","若维持当前状态，将无法证明：关闭时无相关路由/namespace；启用时充值、扣减、退款与重试可对账","只有 AI 生成、用量计费或消耗型产品才启用；普通 SaaS 使用 entitlement 即可","无明确计量单位时关闭 credits 和 creditPurchases，不把积分当通用会员系统","启用后每次扣减使用 idempotency key，禁止客户端决定余额","余额查询和交易列表必须分页；热账户需关注写竞争","apps/server/src/credits; apps/web/src/routes/_authed/(dashboard)/credits; packages/app-config/src/app-config.ts","计量单位和商业模型","关闭时无相关路由/namespace；启用时充值、扣减、退款与重试可对账"
"PAY-009","积分","注册赠送","signupGrant","已默认关闭","滥用风险","P1","只有明确获客预算时再决策","模板保留 100 积分、30 天过期和 HMAC 处理 IP/UA 线索的可选赠送机制，但 paid-product 基线已设置 enabled=false，不会自动赠送","未来误开会形成未批准的免费使用路径，并增加重复注册、隐私说明、过期与申诉成本","保持 signupGrant.enabled=false；只有拿到明确获客预算与反滥用规则后再单独启用并复核额度","收费产品直接销售积分或权益，不把注册送积分当默认获客动作","未来启用时不可存储不必要的原始指纹；secret 轮换会影响关联语义，需记录","关闭时不运行赠送或过期清理；未来启用时避免在用户请求中全表扫描","packages/app-config/src/product-config.ts; apps/server/src/credits","PAY-008 与隐私政策","默认配置不授予注册积分；未来启用时重复注册不重复获得赠送且过期与申诉行为已写入 UI 和条款"
