module,area,slug_or_route,issue_type,severity,evidence,problem,suggested_fix,effort_hours,block_release
web-backoffice,module-routes,,broken,P1,apps/web/src/lib/auth/create-admin-module-route.ts:9|apps/web/src/lib/auth/create-admin-module-route.ts:12,调用方 beforeLoad 会被静默替换,组合执行调用方和模块守卫,1,no
server-jobs,delayed-delivery,JOB_QUEUE,broken,P1,apps/server/src/modules/jobs/job.service.ts:152|apps/server/src/modules/jobs/job.worker.ts:62|apps/server/wrangler.jsonc:57,未来执行的任务会立即入队且重试次数会在等待期间耗尽,只发布已到期的 outbox 任务,2,no
server-jobs,dead-letter-generation,JOB_QUEUE_DLQ|admin.retryFailedJob,broken,P1,apps/server/src/modules/jobs/job.dead-letter.ts:62|apps/server/src/modules/jobs/job.dead-letter.ts:122|apps/server/src/modules/jobs/job.service.ts:270,旧死信消息可终止新的重试任务,为每次重试生成独立 generation 并校验,4,no
server-jobs,admin-retry-result,admin.retryFailedJob,broken,P1,apps/server/src/modules/jobs/job.service.ts:295|apps/server/src/modules/jobs/job.service.ts:314|apps/server/src/routers/admin/jobs.ts:109,重试已提交但投递失败会使 RPC 报错且审计缺失,原子写入审计并把投递失败保留为待发送状态,2,no
web-billing,billing-status,/settings/billing,broken,P1,apps/web/src/routes/_authed/(dashboard)/settings/billing.tsx:82|apps/web/src/routes/_authed/(dashboard)/settings/billing.tsx:173|apps/web/src/hooks/use-payments.ts:42,账单状态请求不可用时被当作免费用户,显示账单状态错误和重试入口,1,no
web-billing,plan-catalog,/settings/billing,broken,P1,apps/web/src/routes/_authed/(dashboard)/settings/billing.tsx:263|apps/web/src/routes/_authed/(dashboard)/settings/billing.tsx:282,套餐目录请求失败时显示为没有套餐,区分加载失败与空套餐,0.5,no
web-billing,purchase-history,payments.listPurchaseHistoryPage,broken,P1,apps/server/src/routers/common/payments.ts:143|apps/server/src/routers/common/payments.ts:152|apps/server/src/db/schema/credits.ts:196,积分购买完成时间使用创建时间而非实际完成时间,保存并查询实际完成时间,4,no
server-payments,webhook-environment,/api/webhooks/revenuecat,security,P1,apps/server/src/payments/providers/revenuecat/webhook/event-filter.ts:4|apps/server/src/payments/providers/revenuecat/webhook/handle-event.ts:278|apps/server/src/payments/providers/revenuecat/provider.ts:93,生产端点可接受真实 SANDBOX 购买并授予生产权益,生产环境只接受 PRODUCTION 事件,2,no
web-auth,social-auth,/auth/sign-in|/auth/sign-up,unfinished,P1,apps/web/src/configs/web-config.ts:56|apps/web/src/components/auth/sign-in-form.tsx:17|apps/web/src/hooks/use-social-sign-in.ts:8,Apple 已配置但 Web 登录注册界面和 hook 未接入,接入 Apple 登录入口和 provider 映射,2,no
web-auth,post-auth-checkout,/auth/sign-in?planId&priceId,unfinished,P1,apps/web/src/routes/(auth)/auth/_unauthed/sign-in.tsx:6|apps/web/src/components/auth/email/email-sign-in-form.tsx:17|apps/web/src/hooks/use-social-sign-in.ts:12,认证后丢失 planId 和 priceId 导致结账意图消失,认证完成后保留并恢复结账参数,2,no
web-auth,reset-password,/auth/reset-password,broken,P1,apps/web/src/routes/(auth)/auth/reset-password.tsx:7|apps/web/src/routes/(auth)/auth/reset-password.tsx:20|apps/web/src/components/auth/email/reset-password-form.tsx:17,无效或缺失重置 token 时仍可编辑提交表单,token 无效时显示终止状态并禁用提交,1,no
mobile-profile,security,/(tabs)/(profile)/security|users.getPasswordStatus,broken,P1,optional/mobile/hooks/use-social-sign-in.ts:9|optional/mobile/app/(tabs)/(profile)/security.tsx:16|apps/server/src/routers/common/users.ts:67,Apple-only 账号被显示为没有密码也没有社交登录,补齐 Apple provider 状态和界面映射,1,no
mobile-profile,credit-purchase,/(tabs)/(profile)/credits,broken,P1,optional/mobile/hooks/use-credits.ts:105|optional/mobile/hooks/use-credits.ts:124,余额基线未加载时首个刷新会错误显示积分已同步,要求购买前已有余额基线并在后续余额增长后确认同步,1,no
mobile-profile,credits,/(tabs)/(profile)/credits|/(tabs)/(profile)/credits-transactions,broken,P1,optional/mobile/hooks/use-credits.ts:172|optional/mobile/hooks/use-credits.ts:205|optional/mobile/app/(tabs)/(profile)/credits.tsx:121,积分请求失败被渲染为空余额或空列表,显示可重试错误状态,1,no
mobile-profile,edit-profile,/(tabs)/(profile)/edit-profile,broken,P1,optional/mobile/app/(tabs)/(profile)/edit-profile.tsx:27|optional/mobile/app/(tabs)/(profile)/edit-profile.tsx:92|optional/mobile/app/(tabs)/(profile)/edit-profile.tsx:103,深链打开时表单不等待用户解析且身份变化后不回填 name；空名提交会被校验拦住但已填入的陈旧名称仍可能覆盖解析后的资料,等待用户解析完成并在用户身份变化时重置表单,1,no
mobile-profile,membership,/(tabs)/(profile)/premium,broken,P1,optional/mobile/hooks/use-native-payments.ts:437|optional/mobile/hooks/use-native-payments.ts:468|optional/mobile/hooks/use-native-payments.ts:546,服务端账单状态失败后会永久回退到本地 RevenueCat 权益,认证用户显示可重试不可用状态并仅保留短暂购买窗口回退,2,no
server-credits,billable-compensation,,broken,P1,apps/server/src/credits/application/billable-operation.ts:210|apps/server/src/credits/application/billable-operation.ts:231|apps/server/src/credits/application/billable-operation.ts:253,pending 操作可在未实际扣款时退款且成功失败回调竞态会重复加余额,退款前核对实际扣款并将状态更新和退款记账置于同一事务,4,no
server-credits,native-refund-ordering,/api/webhooks/revenuecat,broken,P1,apps/server/src/credits/application/consume.ts:38|apps/server/src/payments/providers/revenuecat/webhook/handle-event.ts:295|apps/server/src/credits/application/grant.ts:108,退款事件先于购买事件到达会被忽略而后续购买仍授予积分,将未找到订单的退款放入现有重试流程,2,no
server-credits,recovery-concurrency,,broken,P1,apps/server/src/credits/application/purchase-recovery.ts:146|apps/server/src/credits/application/purchase-recovery.ts:207|apps/server/src/credits/application/purchase-recovery.ts:291,并发消费可使退款批次扣减零行但账户退款仍提交,检查批次条件更新行数并在冲突时回滚重试,4,no
server-credits,expiration-with-debt,10 16 * * *,broken,P1,apps/server/src/credits/application/maintenance.ts:93|apps/server/src/credits/application/maintenance.ts:107|apps/server/src/credits/application/internal.ts:150,负余额账户的到期积分维护会持续回滚并阻塞后续维护,允许到期扣减保留既有债务并保留批次并发校验,2,no
server-credits,signup-grant-limits,rpc.credits.getBalance|rpc.credits.listTransactions,broken,P0,apps/server/src/credits/application/signup-grant.ts:231|apps/server/src/credits/application/signup-grant.ts:264|apps/server/src/db/schema/credits.ts:224,同一 IP 并发首领可绕过三次赠送上限并获得超额赠送积分,将资格 claim 的条件写入与额度流水和账户更新放进同一原子批次并以 claim 写入成功作为后续写入守卫,4,yes
shared,date-formatting,,resolved,P2,packages/shared/src/date.ts:35|packages/shared/src/date.ts:39|packages/shared/src/date.ts:41,已修复：仅 null 或 undefined 为空值，0 会按 Unix epoch 格式化,无需进一步操作,0.5,no
server-db,legacy-credit-recovery,,unfinished,P1,apps/server/src/db/migrations/0020_cultured_tattoo.sql:63|apps/server/src/credits/application/legacy-recovery-audit.ts:19|docs/money-operations-v0.4.9.md:9,迁移把所有历史订单默认标为 exact；文档要求运行 legacy audit 但审计函数没有脚本或运行入口，发布流程可跳过该步骤并让有历史退款争议的订单进入自动恢复逻辑,提供一次性可执行审计命令并记录完成证据后才允许该迁移对应的恢复逻辑上线,4,no
server-credits,ledger-consumption,,broken,P2,apps/server/src/credits/application/consume.ts:99|apps/server/src/credits/application/consume.ts:110|apps/server/src/credits/application/internal.ts:12,积分分散在超过 40 个批次时会触发明确的 too fragmented 错误而非误报余额不足；这是已标注上限的交付限制,保留上限并在产品需要时通过积分合并或续处理流替代固定 40 条限制,4,no
server-credits,ledger-idempotency,,broken,P1,apps/server/src/credits/application/grant.ts:18|apps/server/src/credits/application/grant.ts:45,积分来源唯一键冲突时直接返回既有流水而不核对用户金额或套餐；不匹配的赠送会被调用方当作本次成功,返回既有流水前核对 userId amount packageId；不匹配时抛出来源冲突错误,1,no
mobile-auth,email-verification,/(auth)/sign-up|/callback,unfinished,P1,optional/mobile/configs/app-config.ts:40|optional/mobile/components/auth/sign-up-form.tsx:48|optional/mobile/app/(auth)/callback.tsx:60,移动端已生成验证回调 URL 但邮箱注册未传 callbackURL；验证邮件不会回到移动端且无 cookie 的验证回跳会失败,注册时传入 flow=verify-email 的移动 callbackURL；验证成功后不要求会话 cookie并引导登录,2,no
mobile-auth,social-sign-in,/(auth)/sign-in,unfinished,P1,optional/mobile/configs/app-config.ts:26|optional/mobile/hooks/use-social-sign-in.ts:9|optional/mobile/components/auth/social-sign-in-buttons.tsx:11,移动配置声明 GitHub 登录但 hook 类型和按钮只实现 Apple 与 Google；仅启用 GitHub 时没有社交登录入口,在现有 social sign-in hook 和按钮接入 GitHub 并复用 callback 流程,2,no
mobile-auth,callback,/callback,broken,P1,optional/mobile/app/(auth)/callback.tsx:75|optional/mobile/app/(auth)/callback.tsx:84|optional/mobile/app/(auth)/callback.tsx:85,回调确认服务端会话后先导航再触发未等待的会话刷新；tabs 不存在该守卫回跳机制，但刷新失败不会进入现有错误流程,先等待 refetchSession 成功更新 AuthProvider 再导航并让失败进入错误流程,1,no
mobile-home,home-screen,/,unfinished,P1,optional/mobile/app/(tabs)/(home)/index.tsx:1|optional/mobile/app/(tabs)/_layout.tsx:38,底部导航公开了 Home 主入口但页面只渲染硬编码 Home 文本且没有功能内容,用 v5 已确定的首页内容替换占位页；若 v5 不提供首页则删除 home tab 并把实际主页面设为默认入口,4,no
web-dashboard,account-menu,/settings/billing,broken,P1,apps/web/src/components/dashboard/nav-user.tsx:21|apps/web/src/components/dashboard/nav-user.tsx:69|apps/web/src/routes/_authed/(dashboard)/settings/billing.tsx:34,账单功能关闭时账户菜单仍把查询结果缺失当成未订阅并显示升级入口；点击后账单路由立即重定向回 dashboard,用 webConfig.billingEnabled 同时关闭订阅查询和升级菜单项,0.5,no
web-dashboard,help-form,/help,broken,P1,apps/web/src/components/dashboard/help-page.tsx:25|apps/web/src/components/dashboard/help-page.tsx:55,联系表单只处理 HTTP 错误；断网或连接失败抛错时没有错误提示且不会重置 Turnstile,捕获 fetch 异常并复用现有 token 重置和发送失败提示,0.5,no
web-dashboard,command-search,Cmd/Ctrl+K,unfinished,P2,apps/web/src/components/dashboard/app-sidebar.tsx:22|apps/web/src/components/dashboard/search-dialog.tsx:36,管理员侧栏会追加管理导航但命令搜索只遍历普通导航；管理路由无法通过搜索进入,让 CommandMenu 使用与 AppSidebar 相同的管理员访问结果和最终导航组,1,no
web-dashboard,legacy-phone-identity,/dashboard|/help|/settings/security,broken,P1,apps/web/src/routes/_authed/(dashboard)/dashboard/route.tsx:35|apps/web/src/components/dashboard/help-page.tsx:22|apps/web/src/routes/_authed/(dashboard)/settings/security.tsx:36|packages/shared/src/phone.ts:38,历史 phone-only 用户的兼容邮箱被直接展示或提交；安全页的密码邮件操作可点击但静默返回,统一使用 getVisibleUserEmail；无真实邮箱时禁用联系和密码邮件操作并显示可用联系方式,1,no
server-auth,account-deletion-billing,rpc.users.deleteAccount,broken,P1,apps/server/src/routers/common/users.ts:131|apps/server/src/payments/application/billing-status.ts:36|packages/app-config/src/payments/web.ts:302,删除账号只检查 active 与 trialing 订阅；past_due 等未终止订阅可通过并失去登录能力，后续扣款重试成功时用户仍可能被收费却无法管理订阅,删除前独立检查全部未终止订阅并阻止删除；确认订阅终止后才允许软删,2,no
server-auth,account-deletion-social-login,rpc.users.deleteAccount|/api/auth/callback/google|/api/auth/callback/github,broken,P1,apps/server/src/routers/common/users.ts:140|apps/server/src/lib/auth-session-guard.ts:19|apps/server/src/db/schema/auth.ts:40|apps/server/src/lib/auth.ts:195,账号软删释放原邮箱且删除 session但保留 OAuth account 绑定；相同社交身份再次登录或注册仍关联旧 userId 并被 deletedAt 拒绝,将软删与清理该用户认证 account 绑定和 session 放入同一数据库批次；保留业务历史和赠送去重记录,2,no
server-email,newsletter-request-limit,/api/newsletter/subscribe,resolved,P1,apps/server/src/app/register-email-routes.ts:15|apps/server/src/handlers/newsletter.ts:12|apps/server/src/handlers/newsletter.ts:13,已修复：入口请求体上限为 4KiB，足以容纳受字段限制的邮箱和 Turnstile token,无需进一步操作,0.5,no
web-public,public-header,/,broken,P1,apps/web/src/components/layout/tailark/header/header.tsx:47|apps/web/src/components/layout/tailark/header/header.tsx:87|apps/web/src/components/layout/tailark/header/header.tsx:122,移动菜单打开后若屏幕旋转或扩到 lg 尺寸菜单按钮会隐藏但 menuState 仍为 true；滚动锁持续生效且桌面没有关闭入口,监听 lg 媒体查询并在进入桌面宽度时清除 menuState isClosing 和关闭计时器,0.5,no
web-public,blog-card,/blog|/blog/category/$slug,unfinished,P2,apps/web/src/routes/_public/(marketing)/blog/index.tsx:83|apps/web/src/routes/_public/(marketing)/blog/index.tsx:136|apps/web/src/components/blog/blog-card.tsx:4|apps/web/src/components/blog/blog-card.tsx:42,博客 loader 解析并传入 categories 和 authorName且 BlogCard props 也声明这两个字段但组件没有接收或渲染,在 BlogCard 中接收并显示分类和作者元数据,1,no
web-public,blog-filter,/blog|/blog/category/$slug,broken,P2,apps/web/src/routes/_public/(marketing)/blog/index.tsx:83|apps/web/src/components/blog/blog-category-filter.tsx:84,All categories 数量通过各分类 count 求和；同一文章多分类时重复计数且无分类文章未计入,将当前页面 posts.length 作为 totalCount 显式传给 BlogCategoryFilter,0.5,no
web-public-api,contact,/api/contact,unfinished,P1,apps/server/src/handlers/contact.ts:55|apps/server/src/emails/types.ts:7|apps/server/src/emails/providers/resend.ts:30,提交者邮箱只写入正文且发送接口不支持 Reply-To；收件人直接回复时不会发给提交者,给 SendEmailParams 增加 replyTo 并由 Resend provider 透传且联系表单设为 parsed.data.email,1,no
server-payments,billing-portal,,broken,P1,apps/server/src/payments/application/portal.ts:10|apps/server/src/payments/application/billing-status.ts:109|packages/app-config/src/payments/web.ts:302,仅有 past_due 或 unpaid 订阅的用户失去当前会员权益后 canManageBilling 为 false；即使存在本人 Stripe customer 也无法创建账单门户会话来更新付款方式或处理欠费,将门户资格与会员权益解耦；按当前用户所属 Stripe customer 及账单记录确定可管理状态并保留用户归属校验,2,no
web-tickets,reply-composer,/tickets/$ticketId|/admin/support/$ticketId,broken,P1,apps/web/src/components/dashboard/tickets/ticket-pages.tsx:24|apps/web/src/components/dashboard/tickets/ticket-pages.tsx:197,回复成功后编辑框本地 body 未清空，已发送内容仍可再次提交,让 onSubmit 返回 Promise 并只在成功后清空 body,1,no
server-control-read,http-contract,/__control/v1/overview|/__control/v1/analytics|/__control/v1/users|/__control/v1/audit,resolved,P1,packages/shared/src/control-read/v1.ts:5|packages/shared/src/control-read/v1.ts:56|packages/shared/src/control-read/v1.ts:165|apps/server/src/modules/control-read/http.ts:158,已修复：共享日期 schema 会将 HTTP ISO 日期字符串解析为 Date,无需进一步操作,1,no
server-control-read,error-contract,/__control/v1/*,resolved,P1,packages/shared/src/control-read/v1.ts:192|apps/server/src/modules/control-read/http.ts:147,已修复：HTTP 禁止和输入错误使用公开 CONTROL_* 错误码,无需进一步操作,0.5,no
server-control-read,overview,getOverview|/__control/v1/overview,resolved,P1,apps/server/src/modules/control-read/index.ts:37|apps/server/src/modules/control-read/read-models.ts:44|apps/server/src/modules/control-read/read-models.ts:297,已修复：overview 的 userSummary 与 billing.stats.users 均排除软删除用户,无需进一步操作,0.5,no
server-control-read,http-errors,/__control/v1/*,resolved,P2,apps/server/src/modules/control-read/http.ts:155|apps/server/src/worker/control-read-entrypoint.ts:13,已修复：HTTP 非输入错误会安全记录并附带路由名后返回 CONTROL_UNAVAILABLE,无需进一步操作,0.5,no
server-payments,subscription-state,/api/webhooks/stripe,conflict,P1,apps/server/src/payments/providers/stripe/webhook/invoice-events.ts:63|apps/server/src/payments/providers/stripe/webhook/subscription-events.ts:86|apps/server/src/payments/infrastructure/repositories/billing-store.ts:36,发票处理器用推导状态和数据库旧价格及取消标记整行回写每个订阅行自己的事件水位；较新的发票先到会阻止随后到达的较早订阅事件更新真实价格和取消状态，后续更新事件可自愈,以 Stripe Subscription 快照为订阅字段唯一真相；删除发票自行推导状态及携带旧值整行回写的路径并改成读取当前 Subscription 后交给统一订阅同步入口,4,no
app-config,feature-resolution,,resolved,P1,packages/app-config/src/public-runtime.ts:60|packages/app-config/src/app-config.ts:31|packages/app-config/src/app-config.ts:53|packages/app-config/src/platform-composition.ts:89,已修复：Web billing、credits 与 credit purchases 从 profile-resolved public runtime features 读取,无需进一步操作,2,no
app-config,native-feature-resolution,,resolved,P1,packages/app-config/src/profile-definitions.ts:3|packages/app-config/src/app-config.ts:129|packages/app-config/src/platform-composition.ts:99,已修复：原生 billing、credits 与 credit purchases 从已解析 profile 定义读取,无需进一步操作,2,no
app-config,web-worker-entry,,resolved,P1,apps/web/wrangler.jsonc:12|template-kit/profiles/account-app/wrangler.web.example.jsonc:3|template-kit/profiles/directory-lite/wrangler.web.example.jsonc:3,已修复：所有 profile Web Worker 示例使用 ./src/server.ts,无需进一步操作,0.5,no
app-config,queue-consumer,,resolved,P1,apps/server/wrangler.jsonc:52|template-kit/profiles/full-saas/wrangler.server.example.jsonc:11|template-kit/profiles/account-app/wrangler.server.example.jsonc:11|template-kit/profiles/directory/wrangler.server.example.jsonc:10,已修复：Jobs profile 主队列 consumer 与服务器配置均使用 max_batch_size 1,无需进一步操作,0.5,no
app-config,application-url,,conflict,P1,packages/app-config/src/product-config.ts:23|apps/server/wrangler.jsonc:21|apps/web/wrangler.jsonc:22,产品配置的 websiteUrl 与服务端 WEBSITE_URL 和 Web VITE_APP_URL 分别维护不同部署域名,以 productConfig.common.app.websiteUrl 为唯一真相并从它生成或校验两个 Wrangler URL 变量,1,no
app-config,profile-schema,,resolved,P2,packages/app-config/src/profile-definitions.ts:3|template-kit/profiles/full-saas/profile.json:3|template-kit/profiles/account-app/profile.json:3|template-kit/profiles/directory/profile.json:3|template-kit/profiles/directory-lite/profile.json:3,已修复：四份 profile metadata 与 descriptor 一样包含 tickets 字段,无需进一步操作,1,no
web-billing,billing-status-cache,/settings/billing,conflict,P1,apps/web/src/hooks/use-payments.ts:30|apps/web/src/routes/_authed/(dashboard)/settings/billing.tsx:189|apps/server/src/routers/common/payments.ts:176|apps/server/src/payments/application/billing-status.ts:24,服务端账单状态以数据库为当前真相但前端缓存仅在 incomplete 状态轮询；active、trialing、canceled 等状态被 webhook 改写后页面可长期展示旧状态并据此作出另一套 checkout 决定,以服务端 getBillingStatus 的数据库结果为唯一真相并删除只覆盖 incomplete 的同步规则改为统一刷新账单状态及在支付操作后失效缓存,1,no
server-credits,balance,,perf,P2,apps/server/src/credits/application/read.ts:90|apps/server/src/credits/application/read.ts:101|apps/server/src/routers/common/credits.ts:50,每次余额查询读取所有符合临期条件的批次并构造数组但最终只使用 remainingAmount 总和；该查询没有行数上限,保留现有过滤条件并改为数据库 COALESCE SUM 聚合只返回一个数值,0.5,no
server-credits,expiration-maintenance,,perf,P2,apps/server/src/credits/application/maintenance.ts:19|apps/server/src/credits/application/maintenance.ts:48|apps/server/src/credits/application/internal.ts:15,到期维护批量读取最多 100 条 grant 后又在循环内逐条等待查询对应 expiration 流水；首轮处理形成 1+N 次读取,按本批 grant ID 一次查询对应 expiration 流水并建立映射；保留每条原子扣减及并发冲突后的重新查询,1,no
app-config,price-environment,,resolved,P2,packages/app-config/src/credits.ts:160|packages/app-config/src/credits.ts:267|apps/server/src/credits/application/internal.ts:19,已修复：Web provider price 归一化要求显式环境参数；无环境的兼容查找只返回 native 数据,无需进一步操作,1,no
app-config,credit-purchases,,resolved,P1,packages/app-config/src/features.ts:111|packages/app-config/src/types.ts:247,已修复：purchasesEnabled 为必填且是唯一的 credit purchase 开关,无需进一步操作,1,no
app-config,ticket-feature,,resolved,P2,packages/app-config/src/backoffice-visibility.ts:1|packages/app-config/src/features.ts:9,已修复：工单可见性只使用正式的全局 features.tickets 字段,无需进一步操作,0.5,no
app-config,signup-grant,,resolved,P1,packages/app-config/src/app-config.ts:29|packages/app-config/src/app-config.ts:129|packages/app-config/src/credits.ts:143,已修复：signup grant 只在 common credits 配置声明并由平台解析器继承,无需进一步操作,2,no
app-config,payment-copy,,resolved,P2,packages/app-config/src/membership/index.ts:112|packages/app-config/src/membership/index.ts:495,已修复：PaymentPresentation 只保留翻译 key，不再提供硬编码英文文案字段,无需进一步操作,1,no
template-governance,modification-manifests,,resolved,P2,scripts/check-template-modifications.mjs:33|scripts/check-template-modifications.mjs:101|template-kit/modification.schema.json:1|template-kit/workflows/check-modifications.yml:1,已修复：删除 modification manifest schema、检查器和专用 workflow；例外改由 Git diff 与 PR 或提交说明记录,无需进一步操作,4,no
template-governance,profile-snapshots,,resolved,P2,scripts/check-product-profiles.mjs:28|scripts/check-product-profiles.mjs:86|template-kit/fixtures/profiles/full-saas.json:1|template-kit/profiles/full-saas/profile.json:1,已修复：删除 fixtures/profiles 和重复快照比较；保留 descriptor 与 Wrangler 示例的结构验证,无需进一步操作,2,no
template-governance,guidance-string-checks,,resolved,P2,scripts/check-repository-facts.mjs:134|template-kit/repository-facts.json:122,已修复：删除 guidanceFiles、requiredGuidance 与 retired 文本扫描；保留目录、工作区和结构检查,无需进一步操作,1,no
